name
A.C. Mughil
Andrew Bergman
Andrew Birkin
Andrew Cividino
Andrew Coutts
Andrew Davis
Andrew Dominik
Andrew Douglas
Andrew Eaton
Andrew Fierberg
Andrew Fleming
Andrew Flintoff
Andrew Haigh
Andrew Jarecki
Andrew Jay Cohen
Andrew Knauer
Andrew Lesnie
Andrew Lobel
Andrew Marton
Andrew Mogel
Andrew Niccol
Andrew R. Jones
Andrew Waller
Andrew Wesman
Andrey Zvyagintsev
Andri Snær Magnason
Andrij Parekh
Andrzej Bartkowiak
Andrzej Sekula
Andrzej Żuławski
André Turpin
André Øvredal
André-Line Beauparlant
Andy Fickman
Andy Harries
Andy Muschietti
Andy Tennant
Anees Bazmee
Aneesh Chaganty
Ang Lee
Angel Manuel Soto
Angelo Pizzo
Anil Mehta
Ann Druyan
Ann Forry
Anna Boden
Anna Foerster
Anna Franquesa-Solano
Anna Zackrisson
Annabel Jankel
Anne Fletcher
Anne Fontaine
Anne Goursaud
Anthony
Anthony Bagarozzi
Anthony Cowley
Anthony Hardwick
Anthony Harvey
Anthony Jaswinski
Anthony Maras
Anthony McCarten
Anthony Russo
Anthony Stacchi
Anthony Vaccarello
Antoine Fuqua
Antoinette Boulat
Anton Corbijn
Antonio Campos
Antonio Musu
Antonio Trashorras
Antony Hoffman
Antony Johnston
Anurag Basu
Anurag Saikia
Anusha Nandakumar
Anya Kochoff
Ari Aster
Ari Folman
Ari Sandel
Ari Schlossberg
Ariel Schulman
Ariel Vida
Ariel Vromen
Ariel Zeitoun
Arijit Biswas
Arkasha Stevenson
Armando Bo
Armando Iannucci
Armyan Bernstein
Arnold Glassman
Arnold Perl
Art Linson
Art Stevens
Arthur Albert
Arthur Harari
Arthur Hiller
Arthur J. Ornitz
Arthur Penn
Artur Zurawski
Asger Leth
Asghar Farhadi
Asher Goldstein
Ashley Lyle
Ashutosh Gowariker
Asif Kapadia
Assaf Bernstein
Athar Nawaaz
Atlee
Atom Egoyan
Atul Agnihotri
Austin Keeling
Autumn Durald Arkapaw
Autumn de Wilde
Avi Youabian
Avinash Arun
Ayan Mukerji
Aydin Iz
Babak Najafi
Baltasar Kormákur
Bam Margera
Banksy
Baran bo Odar
Barbara Bialowas
Barnaby Thompson
Barnet Bain
Barry Ackroyd
Barry Alexander Brown
Barry Berman
Barry Cook
Barry Jenkins
Barry L. Levy
Barry Sonnenfeld
Bart De Pauw
Bart Layton
Bart Nickerson
Baz Luhrmann
Beau Bauman
Beeban Kidron
Behzad Mansoori-Dara
Ben Coccio
Ben Gluck
Ben Kutchins
Ben Palmer
Ben Ramsey
Ben Richardson
Ben Ripley
Ben Rock
Ben Weinstein
Ben Wheatley
Ben Winston
Ben Young
Ben Younger
Benh Zeitlin
Benjamin Brewer
Benjamin Herrmann
Benjamin Kasulke
Benjamin Kracun
Benjamin Munz
Benjamin Weill
Bennett Miller
Benoît Delhomme
Bernadette Higgins
Bernard Knowles
Bernard Rose
Bernardo Bertolucci
Bernd Lichtenberg
Bernhard Jasper
Bernie Goldmann
Bernt Amadeus Capra
Bert Glennon
Bert V. Royal
Bertha Navarro
Betty Thomas
Bibi Lindström
Bibo Bergeron
Bilall Fallah
Bill Benz
Bill Condon
Bill DeRonde
Bill Johnson
Bill Kirstein
Bill Lawrence
Bill Marsilii
Bill Perkins
Bill Phillips
Bill Pohlad
Bill Pope
Bill Roe
Billy Frolick
Billy Ray
Billy Sneddon
Billy Weber
Billy Wilder
Björn Stein
Blair Butler
Blake Edwards
Blake Harris
Blake Masters
Bo Welch
Boaz Davidson
Boaz Yakin
Bob Clark
Bob Degus
Bob Fisher
Bob Fosse
Bob Gale
Bob Misiorowski
Bob Persichetti
Bob Yari
Bobby Bukowski
Bobby Farrelly
Bobby Moresco
Bong Joon Ho
Boots Riley
Boris Kaufman
Brad Ableson
Brad Anderson
Brad Bird
Brad Epstein
Brad Falchuk
Brad Furman
Brad Gann
Brad Peyton
Brad Riddell
Brad Silberling
Brad Winderbaum
Bradford Lewis
Bradford Young
Bradley Buecker
Bradley Gallo
Bradley Parker
Bragi F. Schut
Brandon Cronenberg
Brandon DiCamillo
Brandon Murphy
Brandon Trost
Brandon Vietti
Brannon Braga
Breck Eisner
Brent Goldberg
Brent Hanley
Bret Easton Ellis
Brett Pawlak
Brett Ratner
Brett Sullivan
Brian Burns
Brian De Palma
Brian Duffield
Brian G. Hutton
Brian Hannant
Brian Helgeland
Brian J. Gilbert
Brian Kehoe
Brian Kirk
Brian Levant
Brian Lynch
Brian McOmber
Brian Mulroney
Brian Percival
Brian Probyn
Brian Scofield
Brian Taylor
Brian Thomson
Brian Tufano
Brian Volk-Weiss
Brian Ward
Brian Welsh
Brian Yuzna
Bridget Durnford
Bridget Johnson
Bronwen Hughes
Bruce A. Evans
Bruce Beresford
Bruce Dale
Bruce Feirstein
Bruce Geller
Bruce Joel Rubin
Bruce Kimmel
Bruce Robinson
Bruce Straley
Brunello Rondi
Bruno Delbonnel
Bruno Nuytten
Bruno Podalydès
Bryan Bertino
Bryan Fogel
Bryan Goluboff
Bryan Singer
Bryan Sipe
Bryan Woods
Bryson Chun
Bud Yorkin
Budd Schulberg
Burak Arliel
Byron Howard
C. Jay Cox
Caleb Deschanel
Callie Khouri
Cameron Crowe
Camilla Skagerström
Camille Delamarre
Carl Franklin
Carl Kress
Carl Lerner
Carl Rinsch
Carl Sagan
Carl Theodor Dreyer
Carl Thiel
Carl Tibbetts
Carlo Di Palma
Carlo Montuori
Carlo Rizzo
Carlos Catalán
Carlos Cuarón
Carlos Domeque
Carlos López Estrada
Carlos Montero
Carlos Zaragoza
Carlton Cuse
Carlyle Eubank
Carol Reed
Caroline Thompson
Carsten Kurpanek
Carter Smith
Cary Brokaw
Cary Joji Fukunaga
Casey O. Rohrs
Casper Kelly
Caspian Tredwell-Owen
Cassian Elwes
Cate Shortland
Catherine Baikousis
Catherine Goldschmidt
Catherine Hardwicke
Cathy Yan
Cecil B. DeMille
Cedric Nicolas-Troyan
Celine Desrumaux
Celine Song
Cesare Zavattini
Chad Feehan
Chad Hamilton
Chad Hodge
Chad St. John
Chadden Hunter
Chandoo Mondeti
Charles Bennett
Charles Correll
Charles Crichton
Charles D. King
Charles Dorfman
Charles Evans Jr.
Charles Ferguson
Charles Guard
Charles Haid
Charles Herman-Wurmfeld
Charles Lederer
Charles MacArthur
Charles McClelland
Charles Mills
Charles Minsky
Charles Winkler
Charlie Corwin
Charlie Kaufman
Charlie Wachtel
Charlotte Bruus Christensen
Charlotte Wells
Charmaine DeGrate
Charu Shree Roy
Chase Palmer
Chelsea Winstanley
Chih-Chiang Fung
Chip Proser
Chloe Okuno
Chloé Zhao
Chris Appelhans
Chris Bowman
Chris Brinker
Chris Buck
Chris Carter
Chris Chow
Chris Columbus
Chris D'Arienzo
Chris Gorak
Chris Innis
Chris Kekaniokalani Bright
Chris Kentis
Chris King
Chris Lee Hill
Chris Marker
Chris Matheson
Chris McCaleb
Chris McKay
Chris Menges
Chris Moore
Chris Nahon
Chris Noonan
Chris Pare
Chris Peppe
Chris Roberts
Chris Silber
Chris Sparling
Chris Terrio
Chris Towey
Chris Viscardi
Christian Alvart
Christian Berger
Christian Ditter
Christian Gudegast
Christian Nyby
Christian Rivers
Christian Tafdrup
Christina Alexandra Voros
Christine Jeffs
Christine Langan
Christophe Barratier
Christophe Gans
Christophe Hermans
Christophe Lioud
Christophe Offenstein
Christopher Cain
Christopher Challis
Christopher Doyle
Christopher Hampton
Christopher Jenkins
Christopher Landon
Christopher Leitch
Christopher McQuarrie
Christopher Nolan
Christopher Smith
Christopher Storer
Christopher Young
Christy Hall
Chuck Jones
Chuck Russell
Ciarán Foy
Claire Scanlon
Clare Kilner
Clare Knight
Clark Johnson
Clark Mathis
Claude Chabrol
Claude Zidi
Claudia Bluemhuber
Claudia Castello
Clay Kaytis
Clay Tarver
Cliff Dorfman
Clint Bentley
Clyde Bruckman
Clyde Geronimi
Clémentine Decremps
Colin Bucksey
Colin Cairnes
Colin Clark
Colin Higgins
Colin Minihan
Colin Patrick Lynch
Colin Strause
Colin Trevorrow
Colin Watkinson
Coline Serreau
Colm McCarthy
Conor Mercury
Coralie Fargeat
Coreen Mayrs
Corey Blechman
Corey Yuen
Corin Hardy
Costa-Gavras
Court Crandall
Craig Bartholomew Strydom
Craig Bolotin
Craig Brewer
Craig Foster
Craig Gillespie
Craig Grasso
Craig Rosenberg
Craig Wrobleski
Craig Zobel
Cristian Mungiu
Cristina Campos
Curt Siodmak
Curtis Hanson
Curtiss Clayton
Cynthia Arra
Cynthia Mort
Céline Sciamma
César Charlone
D.B. Weiss
D.J. Caruso
D.J. Stipsen
DK Welchman
Daisuke Tengan
Dale Beldin
Dale Launer
Dallas Jenkins
Dalpalan
Damian Bromley
Damian Mc Carthy
Damian Shannon
Damien Chazelle
Damien Leone
Damon Beesley
Dan Abnett
Dan Berk
Dan Curtis
Dan Cutforth
Dan Duncan
Dan Farah
Dan Fogelman
Dan Gilroy
Dan Goor
Dan Harris
Dan Mazer
Dan Mudford
Dan Riba
Dan Trachtenberg
Dana Gonzales
Dana Lustig
Danford B. Greene
Daniel Alfredson
Daniel Aranyó
Daniel Barber
Daniel Barnz
Daniel Casey
Daniel Dubiecki
Daniel E. Taylor
Daniel Espinosa
Daniel Farrands
Daniel Goldberg
Daniel Kwan
Daniel Landin
Daniel Mackey
Daniel Marc Dreifuss
Daniel Monzón
Daniel Myrick
Daniel P. Mannix
Daniel Pearl
Daniel Petrie Jr.
Daniel Rezende
Daniel Sackheim
Daniel Scheinert
Daniel Severson
Daniel Wallace
Daniel Waters
Danny Bilson
Danny Boyle
Danny Cannon
Danny Leiner
Danny Lyon
Danny Pang
Danny Philippou
Danny Roth
Danny Strong
Darin J. Sallam
Darin Scott
Dario Argento
Darius Marder
Darran Tiernan
Darren Aronofsky
Darren Lemke
Darren Lynn Bousman
Darryl Quarles
Daryn Okada
Dave Caplan
Dave Green
Dave Insley
Dave McCary
Dave Wilson
David Agosto
David Anspaugh
David Attenborough
David Auburn
David Ayer
David Benioff
David Benullo
David Bleiman Ichioka
David Blue Garcia
David Bourla
David Bowers
David Boyd
David Brown
David Bruckner
David Bushell
David C. Fein
David Carson
David Caspe
David Dalessandro
David Desola
David Dhawan
David Dobkin
David Dodson
David Elliot
David Engelbach
David F. Sandberg
David Farr
David Fincher
David Frankel
David Franzoni
David Freyne
David Frigerio
David Furnish
David G. Derrick Jr.
David Garbett
David Geddes
David Gordon Green
David Greenwalt
David Guido Pietroni
David H. Steinberg
David Hackl
David Hand
David Hare
David Haring
David Hayter
David James Kelly
David Johnson
David Katzenberg
David Kerr
David L. Bertman
David L. Wolper
David Lean
David Leitch
David Levien
David Levy
David Lowery
David M. Rosenthal
David M. Thompson
David Mackenzie
David Madden
David Mamet
David Mandel
David Marconi
David Matalon
David McCormick
David McNally
David Mickey Evans
David Mirkin
David Moreau
David Muñoz
David Myers
David Newman
David Nutter
David O. Russell
David Odell
David Pastor
David Peers
David Phillips
David Rawlins
David Reid
David Robert Mitchell
David Robinson
David Rosenbloom
David S. Goyer
David S. Ward
David Saperstein
David Saxon
David Schisgall
David Scott
David Slade
David Sproxton
David Stiven
David Swift
David T. Friendly
David Tadman
David Thies
David Twohy
David Ungaro
David Veloz
David Wain
David Webb Peoples
David Wechter
David Weil
David Winkler
David Worth
David Wu
David Yarnell
David Yarovesky
David Yates
David Zucker
Davis Guggenheim
Dean Craig
Dean DeBlois
Dean Fleischer Camp
Dean Israelite
Dean Parisot
Debbie Allen
Deborah Del Prete
Deborah Kaplan
Deborah Maxwell Dion
Debra Granik
Debra Neil-Fisher
Dee Rees
Deepa Bhatia
Deepak Kumar Mishra
Deepesh Sumitra Jagdish
Deeraj Vaidy
Del Andrews
Demián Rugna
Denis Villeneuve
Denise Di Novi
Dennie Gordon
Dennis Gansel
Dennis Iliadis
Dennis Widmyer
Derek Anderson
Derek Cianfrance
Derek Frey
Derek Kolstad
Derek N. Twist
Derek Rogers
Derek Simonds
Derek Vanlint
Derrick Borte
Des McAnuff
Destin Daniel Cretton
Devika Bhagat
Dick Clement
Dick Huemer
Dick Richards
Didier Kaminka
Didier Van Cauwelaert
Dilip Shukla
Dimitri Doganis
Dinesh Vijan
Dino Risi
Dion Beebe
Djamel Ouahab
Djordje Stojiljkovic
Dmitriy Kiselev
Doc Crotzer
Dogus Onur Karasu
Dominic Cooke
Dominic Sena
Don Bluth
Don E. FauntLeRoy
Don Hahn
Don Mancini
Don Paul
Don Roos
Don Scardino
Don Schain
Don Sikorski
Donald McAlpine
Donald P. Bellisario
Donald P. Borchers
Donald Petrie
Donovan Marsh
Dooho Choi
Dorte Warnøe Høgh
Doug Emmett
Doug Liman
Doug Sweetland
Dougie Brimson
Douglas Day Stewart
Douglas J. Eboch
Douglas Petrie
Douglas Rae
Douglas Schwartz
Drake Doremus
Drew Dowdle
Drew Goddard
Drew Hancock
Duane Adler
Dudley Nichols
Duke Johnson
Duncan Jones
Duwayne Dunham
Dwight H. Little
E.T. Feigenbaum
Ebru Ceylan
Ed Charles
Ed Talfan
Ed Wild
Eddy Moretti
Edgar Dubrovskiy
Edgar Wallace
Edgar Wright
Eduard Grau
Eduard Tisse
Eduardo Rossoff
Eduardo Serra
Eduardo Sánchez
Edward Berger
Edward Bond
Edward Lachman
Edward M. Abroms
Edward Zebrowski
Edward Zwick
Eiko Kadono
Eileen Heisler
Eleanor Bergstein
Eleanor Columbus
Elem Klimov
Eli B. Despres
Eli Craig
Elia Cmiral
Elia Kazan
Elie Smolkin
Elizabeth Allen Rosenbaum
Elizabeth Chai Vasarhelyi
Ellen Kuras
Elliot Goldenthal
Elliott Lester
Ellory Elkayem
Elmo Weber
Elmo Williams
Emile Ardolino
Emily Carmichael
Emir Kusturica
Emma Donoghue
Emma Seligman
Emma Tammi
Emmanuel Lubezki
Enda Walsh
Enrique Urbizu
Erdman Penner
Eric Aronson
Eric Bergren
Eric Bernt
Eric Branco
Eric Bress
Eric Brevig
Eric D. Wilkinson
Eric Darnell
Eric Goldberg
Eric Goode
Eric Kissack
Eric Larson
Eric Leighton
Eric Red
Eric Schmidt
Eric Steel
Eric Watson
Erica Beeney
Erica Rivinoja
Erich Pommer
Ericson Core
Erik Nelson
Erik Skjoldbjærg
Erik Van Looy
Erika Dapkewicz
Ernest B. Schoedsack
Ernest Dickerson
Ernest Lehman
Ernest Riera
Ernie Barbarash
Espen Sandberg
Esteban Ibarretxe
Esteban Martin
Etgar Keret
Ethan Coen
Ethan Maniquis
Eugenio Mira
Eugenio Zanetti
Euros Lyn
Eva Kroll
Evan Daugherty
Evan Goldberg
Eve Brandstein
Evgenia Peretz
F. Gary Gray
F.W. Murnau
Fabien Nury
Fabio Burtin
Fabián Bielinsky
Farhad Samji
Faruk Aksoy
Fatih Akin
Fede Alvarez
Federico Cesca
Federico Fellini
Fedor Lyass
Felicity Morris
Felipe Braga
Felipe Fernández del Paso
Felix Chong
Felix Salten
Felix van Groeningen
Feng Li
Fenton Bailey
Fergal Reilly
Fernando Meirelles
Filippo Bologna
Florent-Emilio Siri
Florian Gallenberger
Florian Henckel von Donnersmarck
Florian Hoffmeister
Florian Zeller
Florin Kevorkian
Floyd Crosby
Folmar Blangsted
Francis Ford Coppola
Francis Lawrence
Francis Veber
Frank A. Cappello
Frank Capra
Frank Coraci
Frank Darabont
Frank Doelger
Frank Launder
Frank Marshall
Frank P. Keller
Frank Paur
Frank Pierson
Frank Pugliese
Frank Spotnitz
Frankie Chan
Franklin J. Schaffner
Fred Berner
Fred Cavayé
Fred Dekker
Fred M. Wilcox
Fred Murphy
Fred Wolf
Fred Zinnemann
Freddie Francis
Freddie Young
Frederic Raphael
Fredi Devas
Fredrik Wikström
Frida Perez
Friedrich Dürrenmatt
Fritz Kiersch
Fritz Lang
Frédéric Auburtin
Furio Scarpelli
Fuwad Khan
Félicie Dutertre
G.P. Sippy
Gabe Ibáñez
Gabe Sachs
Gabriel Beristain
Gabriel Fleming
Gabriela Cowperthwaite
Gabriele Muccino
Gabriella Cristiani
Galder Gaztelu-Urrutia
Galen T. Chu
Galt Niederhoffer
Gareth Dunnet-Alcocer
Gareth Edwards
Gareth Evans
Garret Shanley
Garreth Stover
Garrett Grant
Garth Davis
Garth Ennis
Gary Binkow
Gary Chason
Gary Conway
Gary Dauberman
Gary Fleder
Gary Goldman
Gary Goldman
Gary H. Lee
Gary McKendry
Gary Michael Walters
Gary Nadeau
Gary Ross
Gary Scott Thompson
Gary Shore
Gary Trousdale
Gary Whitta
Gary Winick
Gary Young
Gaurav Shukla
Gavin Hood
Gavin O'Connor
Gavin Polone
Gavin Wiesen
Gavin Wilding
Geeta Vasant Patel
Gene Levitt
Gene Milford
Genki Kawamura
Genndy Tartakovsky
Geoff LaTulippe
Geoffrey Fletcher
Geoffrey Johnson
Geoffrey O'Brien
Georg Hurdalek
Georg Krause
George A. Romero
George Abbott
George Armitage
George Axelrod
George Bernard Shaw
George Bowers
George Crile
George Cukor
George Eckstein
George Gallo
George Jonas
George Kay
George Lucas
George Mastras
George Miller
George Nolfi
George Ogilvie
George Orwell
George P. Cosmatos
George Roy Hill
George Scribner
George Seaton
George Tillman Jr.
George Watters
Georges Bermann
Gerald Hirschfeld
Gerald Packer
Gerard Guillemot
Gerard Johnstone
Gerard McMurray
Gerard Soeteman
Germain McMicking
Germán Servidio
Gerry Lively
Gideon Raff
Gil Junger
Gil Kenan
Gil Zimmerman
Gilbert Adler
Gilbert Taylor
Giles Nuttgens
Gill Dennis
Gilles Adrien
Gilles Mimouni
Gillian Armstrong
Gillo Pontecorvo
Gina Prince-Bythewood
Gints Zilbalodis
Giorgio Stegani
Giuseppe Amato
Giuseppe Tornatore
Glen Morgan
Glenn Ficarra
Glenn Gers
Gonzalo López-Gallego
Goran Dukic
Gordan Mihic
Gordon Lonsdale
Gordon Willis
Gore Verbinski
Gorô Miyazaki
Gorô Taniguchi
Graeme Clifford
Graham Annable
Graham Heid
Graham Moore
Graham Reynolds
Grant S. Johnson
Grant Singer
Grant Sputore
Greg Berlanti
Greg Brooker
Greg Coolidge
Greg Daniels
Greg DePaul
Greg Glienna
Greg Kwedar
Greg McLean
Greg Mottola
Greg Russo
Greg Strause
Greg Tiernan
Greg Tillman
Greg Yaitanes
Gregg Araki
Gregg Fienberg
Gregg Gibbs
Gregg Toland
Gregor Cameron
Gregor Jordan
Gregory Bernstein
Gregory Hoblit
Gregory J. Bradley
Gregory Middleton
Gregory Nava
Gregory Oke
Gregory Plotkin
Gregory Widen
Guillermo Amoedo
Guillermo Arriaga
Guillermo Navarro
Gunnar Fischer
Gurinder Chadha
Gus Van Sant
Gustav Danielsson
Gustav Möller
Gustavo Ferrada
Guy Gross
Guy Hamilton
Guy Ritchie
Gérard Krawczyk
Gérard Pirès
Gökhan Tiryaki
Günter Rohrbach
Günther Rittau
Hagen Bogdanski
Hal Ashby
Hal Needham
Hallvard Bræin
Hamilton Luske
Hamish McAlpine
Hampton Fancher
Han Jin-won
Hank Steinberg
Hannah McMechan
Hannes Holm
Hans Petter Moland
Hanu Raghavapudi
Hany Abu-Assad
Harald Zwart
Haritz Zubillaga
Harley Peyton
Harold Becker
Harper Lee
Harris Goldberg
Harrison Atkins
Harry Bradbeer
Harry Elfont
Harry Horner
Harry Keller
Haruo Sotozaki
Haskell Wexler
Hayden Schlossberg
Heather Joseph-Witham
Heather Parry
Helen Estabrook
Hemanth M. Rao
Henk Handloegten
Henning Lohner
Henri Alekan
Henri Decaë
Henri-Georges Clouzot
Henrik Galeen
Henry Alex Rubin
Henry Joost
Henry Koster
Henry Selick
Herbert Ross
Hernán Jiménez
Herschel Weingrod
Heywood Gould
Hideo Nakata
Hideo Oguni
Hiram Martinez
Hiroaki Miyamoto
Hirokazu Koreeda
Hiromasa Yonebayashi
Hironobu Sakaguchi
Hiroshi Takahashi
Hiroyuki Morita
Hiroyuki Tanaka
Hitoshi Okuno
Hong Kyung-pyo
Hong Won-chan
Howard Deutch
Howard Franklin
Howard Hawks
Howard Klausner
Howard McCain
Howard W. Koch
Howard Zieff
Hugh A. Robertson
Hugh Hudson
Hugh Welchman
Hugh Wilson
Humphrey Dixon
Hunter Gray
Hussain Sha Kiran
Huw Cordey
Hwang Dong-hyuk
Hüdaverdi Yavuz
I. Marlene King
Iain Softley
Ian Baker
Ian Mackenzie Jeffers
Ian McDonald
Ian Stokell
Ib Melchior
Igor Legarreta
Igor Martinovic
Ilya Naishuller
Ilyssa Goodman
Imtiaz Ali
Ingmar Bergman
Irwin Allen
Irwin Winkler
Isaac Marion
Isao Takahata
Ishai Setton
Ishana Shyamalan
Ismail Merchant
Issa López
Ivan Reitman
Izô Hashimoto
J Blakeson
J. Lee Thompson
J. Mackye Gruber
J. Michael Muro
J. Michael Riva
J. Miles Dale
J.A. Bayona
J.B. Rogers
J.C. Chandor
J.F. Lawton
J.H. Wyman
J.R.R. Tolkien
JT Mollner
Jac Schaeffer
Jack Barth
Jack Bender
Jack Cardiff
Jack Heller
Jack Kinney
Jack N. Green
Jack Sholder
Jackie Marcus Schaffer
Jacky Yee Wah Pang
Jaco Van Dormael
Jacob Secher Schulsinger
Jacopo Quadri
Jacques Audiard
Jaime Marques
Jaime Paglia
Jaimie D'Cruz
Jake Kasdan
Jake Polonsky
Jake Schreier
Jake Szymanski
Jalmari Helander
James Agee
James Algar
James Ashmore Creelman
James B. Harris
James Bobin
James Bresnahan
James Brown
James Burrows
James Cameron
James Chressanthis
James Clavell
James D. Stern
James D. Wilcox
James DeMonaco
James Dearden
James Foley
James Gray
James Gunn
James Hawes
James Isaac
James Ivory
James Lapine
James M. Johnston
James Mangold
James Marsh
James Mather
James McTeigue
James Orr
James Ponsoldt
James R. Bagdonas
James Reed
James Robinson
James Schamus
James Siegel
James Toback
James Vandewater
James Wan
James Ward Byrkit
James Watkins
James Weaver
James Whale
James Whitaker
James Wong
Jamie Linden
Jamie Payne
Jamie Thomason
Jamie Uys
Jan Houllevigue
Jan Kiesser
Jan Pinkava
Jan Sardi
Jane Campion
Jane Lipsitz
Jane Musky
Janet Scott Batchler
Jang Hang-jun
Jang Joon-hwan
Janusz Kaminski
Jared Hess
Jared Raab
Jared Stern
Jarrad Paul
Jasmila Zbanic
Jason Friedberg
Jason Goldberg
Jason Hall
Jason Hand
Jason Headley
Jason Keller
Jason Kliot
Jason Lei Howden
Jason Moore
Jason Reed
Jason Reitman
Jason Smilovic
Jason Stone
Jason Woliner
Jasper Spanning
Jaume Balagueró
Jaume Collet-Serra
Jaume Roures
Javier Abad
Javier Aguirresarobe
Jay Anson
Jay Lavender
Jay Oliva
Jay Roach
Jay Russell
Jay Ward
Jayathirtha
Jayson Rothwell
Jean Poiret
Jean-Baptiste de Laubier
Jean-Claude Flamand-Barny
Jean-François Richet
Jean-Jacques Annaud
Jean-Jacques Bouhon
Jean-Louis Bompoint
Jean-Marc Vallée
Jean-Pierre Jeunet
Jean-Pierre Melville
Jeanette B. Milio
Jeanne Biras
Jeannot Szwarc
Jed Mercurio
Jeethu Joseph
Jeeva
Jeff Apple
Jeff Arch
Jeff Baena
Jeff Balis
Jeff Bierman
Jeff Buchanan
Jeff Buhler
Jeff Chan
Jeff Cronenweth
Jeff Davis
Jeff Fowler
Jeff Gibbs
Jeff Judah
Jeff Kanew
Jeff Kaplan
Jeff Lowell
Jeff Nichols
Jeff Orlowski-Yang
Jeff Rowe
Jeff Schaffer
Jeff Tomsic
Jeff Tremaine
Jeff Wadlow
Jeffrey Boam
Jeffrey Lau
Jeffrey Nachmanoff
Jeffrey Reiner
Jeffrey Townsend
Jeffrey Wolf
Jenle Hallund
Jennifer Kaytin Robinson
Jennifer Kent
Jennifer Lilly
Jenny Gage
Jens Meurer
Jeong Tae-sung
Jeremiah S. Chechik
Jeremiah Zagar
Jeremy Brock
Jeremy Coon
Jeremy Garelick
Jeremy Iacone
Jeremy Lasky
Jeremy Leven
Jeremy Passmore
Jeremy Podeswa
Jeremy Saulnier
Jeremy Scahill
Jeremy Webb
Jericca Cleland
Jerome Hellman
Jerome Robbins
Jerry Eeten
Jerry Paris
Jerry Zucker
Jerusha Hess
Jerzy Kromolowski
Jess Wu Calder
Jesse Andrews
Jesse Dylan
Jesse Peretz
Jessica Baclesse
Jessica Bendinger
Jessie Nelson
Jesús Olmo
Jeymes Samuel
Jill Culton
Jim Abrahams
Jim Clark
Jim Field Smith
Jim Frohna
Jim Gillespie
